time,pid,x,y,z
2017-05-02 14:28:08.409,PC6771,0.004,-0.0113,0.0051
2017-05-02 14:28:08.435,PC6771,0.0039,-0.0088,0.0171
2017-05-02 14:28:08.460,PC6771,-0.0012,-0.0088,0.0172
2017-05-02 14:28:08.485,PC6771,0.0033,-0.0048,0.0072
2017-05-02 14:28:08.510,PC6771,0.0051,-0.0033,0.0135
2017-05-02 14:28:08.535,PC6771,0.0075,-0.0015,0.013
2017-05-02 14:28:08.560,PC6771,0.0004,0.0013,0.0159
2017-05-02 14:28:08.590,PC6771,0.0033,-0.0002,0.0039
2017-05-02 14:28:08.609,PC6771,-0.0007,-0.0007,0.0022
2017-05-02 14:28:08.633,PC6771,0.0006,0.0004,-0.001
2017-05-02 14:28:08.659,PC6771,-0.0038,-0.0049,0.0021
2017-05-02 14:28:08.684,PC6771,-0.0065,-0.0063,-0.0039
2017-05-02 14:28:08.709,PC6771,-0.0037,-0.008,-0.0027
2017-05-02 14:28:08.734,PC6771,-0.0012,-0.0108,0.0095
2017-05-02 14:28:08.759,PC6771,0.0008,-0.005,0.0046
2017-05-02 14:28:08.785,PC6771,-0.0028,0.0028,-0.0073
2017-05-02 14:28:08.809,PC6771,0.0037,0.0048,-0.0053
2017-05-02 14:28:08.835,PC6771,0.0084,-0.0004,0.0106
2017-05-02 14:28:08.863,PC6771,0.0036,0.0042,0.0105
2017-05-02 14:28:08.886,PC6771,0.0036,0.006,0.0036
2017-05-02 14:28:08.913,PC6771,0.0035,0.0057,0.0151
2017-05-02 14:28:08.935,PC6771,0.0028,0.0087,0.0079
2017-05-02 14:28:08.964,PC6771,0.0024,0.0082,0.0116
2017-05-02 14:28:08.985,PC6771,0.0029,0.0083,0.0137
2017-05-02 14:28:09.009,PC6771,0.0082,0.0038,-0.0055
2017-05-02 14:28:09.033,PC6771,0.0236,-0.0032,-0.0381
2017-05-02 14:28:09.059,PC6771,0.0111,0.0183,0.0144
2017-05-02 14:28:09.084,PC6771,0.0215,-0.0049,-0.0008
2017-05-02 14:28:09.109,PC6771,-0.0106,-0.0114,-0.0454
2017-05-02 14:28:09.135,PC6771,-0.003,-0.004,-0.0065
2017-05-02 14:28:09.159,PC6771,0.016,-0.0043,0.0213
2017-05-02 14:28:09.185,PC6771,-0.0097,-0.0133,-0.0174
2017-05-02 14:28:09.209,PC6771,-0.0084,0.0098,0.0068
2017-05-02 14:28:09.233,PC6771,0.0233,0.0132,0.0225
2017-05-02 14:28:09.259,PC6771,0.0082,0.0119,0.0363
2017-05-02 14:28:09.284,PC6771,-0.0659,-0.0346,0.0417
2017-05-02 14:28:09.309,PC6771,-0.0483,-0.0038,-0.0114
2017-05-02 14:28:09.334,PC6771,0.0035,0.0168,0.0073
2017-05-02 14:28:09.359,PC6771,-0.0038,0.0111,-0.0058
2017-05-02 14:28:09.384,PC6771,-0.0338,0.0022,0.0008
2017-05-02 14:28:09.409,PC6771,-0.0047,-0.0006,-0.0142
2017-05-02 14:28:09.433,PC6771,-0.0105,0.0105,0.0132
2017-05-02 14:28:09.459,PC6771,-0.0033,0.005,0.0098
2017-05-02 14:28:09.484,PC6771,-0.0109,0.0148,-0.0056
2017-05-02 14:28:09.510,PC6771,0.0,0.0184,0.0226
2017-05-02 14:28:09.535,PC6771,-0.0048,0.013,0.0546
2017-05-02 14:28:09.559,PC6771,0.0108,0.0272,0.0539
2017-05-02 14:28:09.584,PC6771,-0.0209,0.0177,0.0495
2017-05-02 14:28:09.609,PC6771,-0.0132,0.0142,0.0182
2017-05-02 14:28:09.636,PC6771,-0.022,0.0181,-0.023
2017-05-02 14:28:09.659,PC6771,-0.0092,-0.01,-0.0339
2017-05-02 14:28:09.685,PC6771,-0.0165,-0.0182,0.0056
2017-05-02 14:28:09.709,PC6771,-0.0373,-0.0308,0.0104
2017-05-02 14:28:09.734,PC6771,-0.0564,-0.0016,-0.0276
2017-05-02 14:28:09.759,PC6771,-0.0431,-0.0165,-0.0484
2017-05-02 14:28:09.785,PC6771,0.0891,0.0278,-0.0042
2017-05-02 14:28:09.809,PC6771,0.0275,0.0057,0.0122
2017-05-02 14:28:09.833,PC6771,-0.0434,-0.0145,-0.0679
2017-05-02 14:28:09.859,PC6771,-0.0178,0.0085,0.0013
2017-05-02 14:28:09.884,PC6771,0.041,0.0172,0.0177
2017-05-02 14:28:09.909,PC6771,0.0447,0.0046,0.0061
2017-05-02 14:28:09.935,PC6771,0.0181,0.032,0.0275
2017-05-02 14:28:09.959,PC6771,0.0051,0.0159,-0.0048
2017-05-02 14:28:09.984,PC6771,0.0055,0.0069999999999999,-0.0177
2017-05-02 14:28:10.008,PC6771,0.0218,0.0114,-0.0324
2017-05-02 14:28:10.033,PC6771,0.0167,0.0006,-0.0129
2017-05-02 14:28:10.059,PC6771,0.0154,-0.0086,0.008
2017-05-02 14:28:10.084,PC6771,0.0168,-0.0105,0.0048
2017-05-02 14:28:10.108,PC6771,0.004,-0.0066,-0.0062
2017-05-02 14:28:10.134,PC6771,-0.0088,0.004,-0.0072
2017-05-02 14:28:10.158,PC6771,-0.0098,0.0014,-0.0013
2017-05-02 14:28:10.184,PC6771,-0.0034,0.0056,0.0157
2017-05-02 14:28:10.209,PC6771,-0.0408,-0.0063,-0.0008
2017-05-02 14:28:10.233,PC6771,-0.0286,0.0092,0.0222
2017-05-02 14:28:10.257,PC6771,-0.0126,-0.0112,0.028
2017-05-02 14:28:10.283,PC6771,-0.0417,-0.0206,0.0371
2017-05-02 14:28:10.308,PC6771,-0.0819999999999999,-0.004,0.0578
2017-05-02 14:28:10.333,PC6771,-0.0069,-0.0568,0.0215
2017-05-02 14:28:10.359,PC6771,0.1805,-0.14,-0.074
2017-05-02 14:28:10.384,PC6771,0.1484,-0.0581,-0.1016
2017-05-02 14:28:10.409,PC6771,0.0392,0.006,-0.096
2017-05-02 14:28:10.433,PC6771,0.0323,0.0161,-0.0906
2017-05-02 14:28:10.457,PC6771,0.0116,0.0409,-0.0428
2017-05-02 14:28:10.484,PC6771,-0.0214,0.0285,0.0001
2017-05-02 14:28:10.509,PC6771,-0.0852,0.099,0.0273
2017-05-02 14:28:10.534,PC6771,-0.0566,0.1103,0.0238
2017-05-02 14:28:10.559,PC6771,-0.0628,0.0972,0.0669
2017-05-02 14:28:10.584,PC6771,-0.0851,0.0694,0.0494
2017-05-02 14:28:10.608,PC6771,-0.0509,0.0563,0.0576
2017-05-02 14:28:10.633,PC6771,-0.0528,0.0495,0.0417
2017-05-02 14:28:10.660,PC6771,-0.0712,0.0052,0.0013
2017-05-02 14:28:10.684,PC6771,-0.0467,-0.0083,0.0154
2017-05-02 14:28:10.708,PC6771,0.0059,-0.0051,-0.0099
2017-05-02 14:28:10.734,PC6771,-0.0148,-0.0091,0.0062
2017-05-02 14:28:10.758,PC6771,0.0119,0.0004,-0.0027
2017-05-02 14:28:10.784,PC6771,0.0169,-0.0241,-0.0462
2017-05-02 14:28:10.809,PC6771,0.0212,0.0204,-0.0179
2017-05-02 14:28:10.833,PC6771,0.0455,0.0069,-0.0083
2017-05-02 14:28:10.857,PC6771,0.1064,-0.0054,-0.0153
2017-05-02 14:28:10.884,PC6771,0.0424,0.0137,0.0187
2017-05-02 14:28:10.908,PC6771,0.0379,-0.0055,-0.03
2017-05-02 14:28:10.934,PC6771,0.0265,-0.0074,-0.0187
2017-05-02 14:28:10.959,PC6771,0.0175,-0.0173,-0.0315
2017-05-02 14:28:10.984,PC6771,0.0349,0.0007,-0.0203
2017-05-02 14:28:11.008,PC6771,0.0284,0.0196,-0.0104
2017-05-02 14:28:11.033,PC6771,-0.0077,-0.0006,-0.0048
2017-05-02 14:28:11.057,PC6771,-0.0091,-0.0015,-0.0129
2017-05-02 14:28:11.083,PC6771,-0.0008,0.0083,0.0017
2017-05-02 14:28:11.108,PC6771,0.0065,0.0282,0.0029
2017-05-02 14:28:11.133,PC6771,-0.0165,0.0179,0.0137
2017-05-02 14:28:11.158,PC6771,-0.0139,0.0011,0.0251
2017-05-02 14:28:11.183,PC6771,0.018,0.0019,0.0117
2017-05-02 14:28:11.208,PC6771,0.0108,0.0277,0.0247
2017-05-02 14:28:11.233,PC6771,-0.0088,0.0218,0.0031
2017-05-02 14:28:11.257,PC6771,-0.0023,0.0192,0.0121
2017-05-02 14:28:11.284,PC6771,0.0015,0.0197,-0.0001
2017-05-02 14:28:11.308,PC6771,-0.0035,0.02,-0.0044
2017-05-02 14:28:11.333,PC6771,-0.0025,0.0154,0.0015
2017-05-02 14:28:11.358,PC6771,0.0129,0.0057,-0.0129
2017-05-02 14:28:11.383,PC6771,0.0057,0.0133,-0.0048
2017-05-02 14:28:11.408,PC6771,-0.0046,0.0142,-0.0029
2017-05-02 14:28:11.433,PC6771,0.0003,0.0105,-0.0117
2017-05-02 14:28:11.457,PC6771,0.0097,0.0065,-0.0014
2017-05-02 14:28:11.483,PC6771,-0.0042,0.0048,0.0019
2017-05-02 14:28:11.508,PC6771,-0.005,0.0014,-0.0087
2017-05-02 14:28:11.535,PC6771,0.0061,0.0082,0.0216
2017-05-02 14:28:11.558,PC6771,0.0023,0.0176,0.0258
2017-05-02 14:28:11.583,PC6771,-0.0038,0.0178,0.0246
2017-05-02 14:28:11.608,PC6771,0.018,0.0126,0.0114
2017-05-02 14:28:11.633,PC6771,0.0185,0.0253,0.0696
2017-05-02 14:28:11.659,PC6771,0.0146,0.0102,-0.0158
2017-05-02 14:28:11.686,PC6771,-0.0041,-0.0009,-0.0384
2017-05-02 14:28:11.708,PC6771,-0.0047,-0.0069999999999999,-0.0278
2017-05-02 14:28:11.739,PC6771,0.0152,0.0048,-0.0316
2017-05-02 14:28:11.757,PC6771,-0.0069999999999999,-0.0042,0.0083
2017-05-02 14:28:11.782,PC6771,-0.0108,-0.02,-0.0056
2017-05-02 14:28:11.807,PC6771,-0.0141,0.0006,0.0113
2017-05-02 14:28:11.832,PC6771,0.0126,-0.0032,-0.0294
2017-05-02 14:28:11.857,PC6771,-0.0184,0.0104,0.0035
2017-05-02 14:28:11.881,PC6771,-0.0312,-0.0014,-0.0205
2017-05-02 14:28:11.907,PC6771,-0.0006,-0.0101,0.0216
2017-05-02 14:28:11.932,PC6771,0.0337,-0.0086,-0.0359
2017-05-02 14:28:11.957,PC6771,-0.0322,-0.0031,-0.006
2017-05-02 14:28:11.982,PC6771,-0.039,-0.0113,-0.0248
2017-05-02 14:28:12.007,PC6771,0.0434,-0.0143,-0.0455
2017-05-02 14:28:12.032,PC6771,0.0149,-0.0026,-0.0256
2017-05-02 14:28:12.057,PC6771,0.0056,0.031,-0.0181
2017-05-02 14:28:12.081,PC6771,0.0222,0.0152,-0.0065
2017-05-02 14:28:12.107,PC6771,0.005,0.0195,-0.0249
2017-05-02 14:28:12.132,PC6771,-0.021,0.0393,0.0104
2017-05-02 14:28:12.157,PC6771,-0.0153,0.0429,0.0561
2017-05-02 14:28:12.182,PC6771,0.0171,0.0162,-0.0023
2017-05-02 14:28:12.207,PC6771,0.0022,-0.0015,0.0202
2017-05-02 14:28:12.232,PC6771,-0.0092,0.029,0.023
2017-05-02 14:28:12.257,PC6771,-0.0046,0.02,0.0407
2017-05-02 14:28:12.281,PC6771,0.013,0.0169,0.0233
2017-05-02 14:28:12.307,PC6771,0.0016,0.0051,0.0205
2017-05-02 14:28:12.332,PC6771,-0.0133,0.0094,0.0139
2017-05-02 14:28:12.357,PC6771,-0.0124,0.0059,0.0117
2017-05-02 14:28:12.382,PC6771,-0.0062,-0.0015,-0.0037
2017-05-02 14:28:12.406,PC6771,-0.0037,-0.0011,-0.014
2017-05-02 14:28:12.432,PC6771,-0.002,0.0141,-0.0011
2017-05-02 14:28:12.456,PC6771,-0.0058,0.0115,-0.0166
