time,pid,x,y,z
2017-05-02 14:06:13.225,SA0297,-0.0116,0.0059,-0.004
2017-05-02 14:06:13.271,SA0297,-0.0114,0.0079,-0.0048
2017-05-02 14:06:13.316,SA0297,0.0016,-0.0003,0.0007
2017-05-02 14:06:13.361,SA0297,0.0028,-0.0034,-0.0058
2017-05-02 14:06:13.406,SA0297,0.0061,-0.0068,-0.0027
2017-05-02 14:06:13.456,SA0297,0.0103,-0.0033,-0.0041
2017-05-02 14:06:13.500,SA0297,0.0047,-0.004,-0.0034
2017-05-02 14:06:13.545,SA0297,-0.0089,0.0016,-0.0018
2017-05-02 14:06:13.591,SA0297,-0.0035,0.0079,-0.0047
2017-05-02 14:06:13.636,SA0297,0.0,-0.0033,0.0003
2017-05-02 14:06:13.681,SA0297,0.0004,-0.0015,-0.0045
2017-05-02 14:06:13.726,SA0297,0.005,-0.0004,-0.0051
2017-05-02 14:06:13.771,SA0297,0.0035,-0.0036,-0.0025
2017-05-02 14:06:13.816,SA0297,-0.0012,-0.0017,-0.0029
2017-05-02 14:06:13.861,SA0297,-0.0021,0.0023,-0.0024
2017-05-02 14:06:13.905,SA0297,-0.0009,0.001,-0.0038
2017-05-02 14:06:13.951,SA0297,0.0013,-0.001,-0.0026
2017-05-02 14:06:13.996,SA0297,0.002,0.0013,-0.0048
2017-05-02 14:06:14.041,SA0297,-0.0002,-0.0008,-0.0015
2017-05-02 14:06:14.087,SA0297,0.0027,-0.0025,-0.0056
2017-05-02 14:06:14.131,SA0297,0.0073,-0.0002,-0.0024
2017-05-02 14:06:14.176,SA0297,-0.0243,0.0099,-0.0053
2017-05-02 14:06:14.221,SA0297,-0.0085,0.0082,0.0013
2017-05-02 14:06:14.265,SA0297,0.0094,0.0038,-0.0036
2017-05-02 14:06:14.311,SA0297,-0.0094,-0.012,-0.0024
2017-05-02 14:06:14.356,SA0297,0.0069999999999999,0.0,-0.0056
2017-05-02 14:06:14.401,SA0297,0.0053,0.0035,-0.0081
2017-05-02 14:06:14.451,SA0297,-0.0019,-0.0176,-0.0034
2017-05-02 14:06:14.496,SA0297,-0.0008,0.011,-0.0041
2017-05-02 14:06:14.541,SA0297,-0.003,0.0017,-0.0024
2017-05-02 14:06:14.585,SA0297,-0.0009,-0.0131,-0.0003
2017-05-02 14:06:14.631,SA0297,0.0043,0.0115,-0.0033
2017-05-02 14:06:14.676,SA0297,-0.0033,0.0032,-0.004
2017-05-02 14:06:14.721,SA0297,-0.0025,-0.0121,-0.0044
